,filename,width,height,class,xmin,ymin,xmax,ymax
2649,197_1525455258.9201784frame04813.jpg,640,360,ball,83,261,142,315
2656,197_1525455244.4494092frame04689.jpg,640,360,ball,332,184,419,272
2440,197_1525455911.5034509frame10096.jpg,640,360,ball,410,222,429,241
4272,36_euro_ball_game_1_b_00375.jpg,800,600,ball,241,417,294,473
13,294_64-framed2265-1.jpg,1280,612,ball,630,389,680,431
2374,7_leipzig_robocup16_000.454.jpg,800,600,ball,683,320,761,389
2517,197_1525455702.042196frame08401.jpg,640,360,ball,225,8,370,116
1816,166_frame3780.jpg,640,360,ball,187,154,206,172
3015,295_75-framed4435.jpg,1280,720,ball,629,367,657,399
1093,81_test_nagoya_game_c_00242.jpg,800,600,ball,203,43,295,135
3439,293_32-framed17479.jpg,1280,720,ball,1019,150,1040,171
2252,IMG_20181003_152509603_BURST009.jpg,3264,1836,ball,927,745,1779,1624
1416,260_montreal-game01_aj_000015.jpg,800,600,ball,458,399,490,430
1150,81_test_nagoya_game_a_00541.jpg,800,600,ball,212,131,248,165
3545,295_66-framed5304.jpg,1280,720,ball,776,227,804,257
3134,293_45-framed11226-1.jpg,1280,612,ball,627,183,652,209
3118,293_46-framed3715.jpg,1280,720,ball,524,527,607,620
625,291_2-framed1300.jpg,1280,720,ball,769,453,852,531
2434,197_1525455927.589246frame10226.jpg,640,360,ball,284,121,313,144
440,294_55-framed16582-1.jpg,960,720,ball,482,527,529,570
484,291_7-framed4303.jpg,1280,720,ball,765,386,801,421
3609,293_32-framed10224.jpg,1280,720,ball,531,131,560,157
1640,33_leipzig_robocup16_011.468.jpg,800,600,ball,505,95,567,160
3924,35_euro_ball_01_a_00348.jpg,800,600,ball,235,115,367,249
828,292_17-framed9813.jpg,1280,720,ball,324,203,356,239
3282,293_35-framed15945-1.jpg,1280,598,ball,837,315,884,368
293,291_9-framed17707.jpg,1280,720,ball,230,533,289,588
653,291_11-framed4144.jpg,1280,720,ball,952,596,1035,679
16,294_64-framed149-1.jpg,1280,612,ball,664,419,718,469
2497,197_1525455762.2166302frame08878.jpg,640,360,ball,265,315,304,352
1286,260_montreal-game01_ao_000140.jpg,800,600,ball,57,312,114,365
2923,196_output_00846.jpg,1920,1080,ball,1314,323,1500,486
3555,295_66-framed17334.jpg,1280,720,ball,632,203,654,231
3031,295_75-framed17007.jpg,1280,720,ball,435,240,502,303
693,292_24-framed12423-1.jpg,1280,598,ball,482,0,537,33
2893,196_output_01218.jpg,1920,1080,ball,684,504,993,808
3291,293_34-framed7882.jpg,1920,1080,ball,1010,734,1119,840
4119,258_aframe0025.jpg,640,360,ball,331,155,425,255
2076,IMG_20181003_152303435_HDR.jpg,3264,1836,ball,1008,557,1919,1479
1821,166_frame3746.jpg,640,360,ball,351,167,369,184
912,291_10-framed42503.jpg,1280,720,ball,460,291,531,342
1234,6_jun16_seq_pos_000.121.jpg,800,600,ball,331,226,356,256
1643,33_leipzig_robocup16_010.943.jpg,800,600,ball,496,221,548,265
1064,81_test_nagoya_game_d_00436.jpg,800,600,ball,453,135,488,171
4399,156_sequences_jasper_kicking_euro_ball_00462.jpg,800,600,ball,434,184,514,264
2343,7_leipzig_robocup16_euroball118.jpg,800,600,ball,399,191,457,256
68,294_52-framed3770-1.jpg,1280,626,ball,490,330,528,364
2360,7_leipzig_robocup16_000.720.jpg,800,600,ball,434,208,490,267
929,291_10-framed39276.jpg,1280,720,ball,291,89,319,124
3214,293_40-framed1597-3.jpg,640,360,ball,306,194,340,227
3172,293_42-framed4626.jpg,1280,720,ball,932,316,987,359
2325,7_leipzig_robocup16_euroball69.jpg,800,600,ball,600,263,656,323
3267,293_35-framed8654-1.jpg,1280,598,ball,153,372,244,451
3447,293_32-framed15867.jpg,1280,720,ball,121,211,146,241
3949,30_leipzig_robocup16_008.209.jpg,800,600,ball,310,230,365,285
571,291_3-framed8113.jpg,1280,720,ball,20,582,124,706
1659,262_montreal-game04_ab_000194.jpg,800,600,ball,74,82,104,110
3135,293_45-framed10815-1.jpg,1280,612,ball,569,362,648,433
4501,149_21_02_2018__17_02_52_0007_upper.jpg,640,480,ball,248,102,310,165
3159,293_43-framed3156.jpg,1280,720,ball,498,19,722,199
1766,166_frame5363.jpg,640,360,ball,433,148,451,165
2909,196_output_01028.jpg,1920,1080,ball,869,118,1018,271
3720,36_euro_ball_game_1_m_00117.jpg,800,600,ball,392,171,456,240
626,291_2-framed1091.jpg,1280,720,ball,250,468,354,543
207,292_26-framed2595.jpg,960,720,ball,438,285,474,320
190,292_27-framed431.jpg,1280,720,ball,374,273,435,330
1548,260_montreal-game01_ad_000130.jpg,800,600,ball,126,353,153,380
3406,293_32-framed4179.jpg,1280,720,ball,61,135,89,167
2470,197_1525455813.7922847frame09298.jpg,640,360,ball,407,231,447,267
3706,36_euro_ball_game_1_m_00331.jpg,800,600,ball,488,370,543,425
3973,25_ball_move_1_00129.jpg,800,600,ball,414,118,447,154
3405,293_32-framed4179.jpg,1280,720,ball,791,97,812,121
466,294_54-framed2114-1.jpg,1280,576,ball,645,264,712,334
980,291_10-framed19511.jpg,1280,720,ball,289,98,313,122
3940,32_leipzig_robocup16_009.845.jpg,800,600,ball,406,349,491,438
1134,81_test_nagoya_game_b_00083.jpg,800,600,ball,340,271,366,299
2516,197_1525455705.8791478frame08434.jpg,640,360,ball,133,198,197,241
4023,258_bframe0065.jpg,640,360,ball,257,155,366,267
1153,81_test_nagoya_game_a_00482.jpg,800,600,ball,530,57,570,96
2530,197_1525455649.1426027frame07988.jpg,640,360,ball,117,15,169,69
2398,5_jan16_seq__000.802.jpg,800,600,ball,606,159,699,252
2823,197_1525454949.019434frame02370.jpg,640,360,ball,208,186,263,243
3824,36_euro_ball_game_1_g_00594.jpg,800,600,ball,488,209,528,251
418,294_55-framed9294-1.jpg,960,720,ball,622,396,656,432
1174,81_test_nagoya_game_a_00137.jpg,800,600,ball,335,221,368,254
2663,197_1525455206.4205358frame04395.jpg,640,360,ball,460,286,540,360
1693,260_montreal-game01_aa_000340.jpg,800,600,ball,166,193,199,223
373,294_58-framed1503.jpg,1280,720,ball,509,239,536,283
3990,258_cframe0326.jpg,640,360,ball,430,97,637,292
1319,260_montreal-game01_am_000183.jpg,800,600,ball,79,214,127,259
1735,260_montreal-game01_aa_000053.jpg,800,600,ball,134,170,166,201
2267,IMG_20181003_152436786.jpg,3264,1836,ball,1452,772,1592,922
3826,36_euro_ball_game_1_g_00468.jpg,800,600,ball,57,292,103,338
669,292_24-framed577-1.jpg,1280,598,ball,886,167,941,220
1598,260_montreal-game01_ab_000152.jpg,800,600,ball,520,147,538,165
4120,258_aframe0017.jpg,640,360,ball,361,207,439,289
1315,260_montreal-game01_am_000230.jpg,800,600,ball,281,128,325,171
2132,IMG_20181001_165345999_BURST000_COVER.jpg,3264,1836,ball,772,139,2171,1533
11,294_64-framed2829-1.jpg,1280,612,ball,814,408,860,452
978,291_10-framed20318.jpg,1280,720,ball,610,165,647,201
3746,36_euro_ball_game_1_k_00368.jpg,800,600,ball,482,142,522,180
3776,36_euro_ball_game_1_j_00104.jpg,800,600,ball,287,252,327,300
2269,IMG_20181003_152434428.jpg,3264,1836,ball,1377,729,1549,900
3724,36_euro_ball_game_1_m_00100.jpg,800,600,ball,473,156,542,226
2403,5_jan16_seq__000.632.jpg,800,600,ball,531,63,581,113
3624,293_31-framed14112.jpg,1280,720,ball,0,575,176,719
1502,260_montreal-game01_af_000136.jpg,800,600,ball,566,66,585,85
2487,197_1525455776.0730526frame08987.jpg,640,360,ball,229,66,248,83
3289,293_34-framed8885.jpg,1920,1080,ball,1022,208,1082,282
2013,IMG_20181003_152945215_BURST006.jpg,3264,1836,ball,1367,230,1672,547
3620,293_31-framed17397.jpg,1280,720,ball,713,533,784,598
4390,156_sequences_jasper_kicking_euro_ball_00632.jpg,800,600,ball,609,254,703,346
3934,32_leipzig_robocup16_010.118.jpg,800,600,ball,143,456,263,562
23,294_63-framed1662.jpg,1280,720,ball,578,406,641,486
2870,197_1525454880.5356832frame01809.jpg,640,360,ball,594,288,640,350
2930,196_output_00739.jpg,1920,1080,ball,994,319,1205,527
1147,81_test_nagoya_game_a_00554.jpg,800,600,ball,172,172,210,206
2357,7_leipzig_robocup16_000.799.jpg,800,600,ball,418,324,506,406
2508,197_1525455752.05568frame08795.jpg,640,360,ball,222,155,242,172
822,292_18-framed14794.jpg,1280,720,ball,230,406,272,450
3257,293_36-framed20682.jpg,1280,720,ball,516,604,612,685
40,294_60-framed7473-1.jpg,1280,612,ball,548,341,586,391
3820,36_euro_ball_game_1_g_00621.jpg,800,600,ball,516,136,557,182
708,292_23-framed6244-1.jpg,1280,598,ball,1253,378,1281,466
877,291_10-framed7410.jpg,1280,720,ball,297,87,319,108
3651,36_euro_ball_game_1_n_00026.jpg,800,600,ball,148,169,186,202
2500,197_1525455758.4935625frame08847.jpg,640,360,ball,171,43,194,65
892,291_10-framed52183.jpg,1280,720,ball,752,94,779,124
2568,197_1525455532.5746489frame07049.jpg,640,360,ball,417,185,479,233
3200,293_40-framed2599-1.jpg,640,360,ball,215,209,278,276
3616,293_31-framed21093.jpg,1280,720,ball,317,617,381,679
144,294_49-framed5025.jpg,1280,720,ball,1027,350,1078,399
662,291_10-framed9427.jpg,1280,720,ball,327,98,346,114
4069,36_euro_ball_game_1_n_00713.jpg,800,600,ball,540,22,578,57
49,294_60-framed25373-1.jpg,1280,612,ball,919,412,1001,488
2365,7_leipzig_robocup16_000.623.jpg,800,600,ball,621,404,716,496
3722,36_euro_ball_game_1_m_00107.jpg,800,600,ball,455,155,523,225
3975,258_cframe0383.jpg,640,360,ball,31,111,102,176
3950,30_leipzig_robocup16_008.096.jpg,800,600,ball,92,77,181,166
1486,260_montreal-game01_af_000185.jpg,800,600,ball,696,201,715,219
1937,14_leipzig_robocup16_002.300.jpg,800,600,ball,226,167,283,224
1966,IMG_20181003_153059718_BURST008.jpg,3264,1836,ball,1436,815,2144,1431
4298,36_euro_ball_game_1_b_00087.jpg,800,600,ball,553,188,617,250
2261,IMG_20181003_152509603_BURST000_COVER.jpg,3264,1836,ball,1227,713,1608,1067
2249,IMG_20181003_152509603_BURST012.jpg,3264,1836,ball,80,509,1871,1838
2661,197_1525455231.5090623frame04590.jpg,640,360,ball,162,294,250,358
4449,153_sequences_euro_ball_robot_1_c_00039.jpg,800,600,ball,296,166,336,207
2493,197_1525455772.5869501frame08961.jpg,640,360,ball,172,85,194,104
2599,197_1525455368.2176259frame05748.jpg,640,360,ball,138,56,213,121
2428,20_aufnahme186_FullPic.jpg,640,480,ball,255,360,292,394
1089,81_test_nagoya_game_c_00281.jpg,800,600,ball,386,66,474,158
4224,157_sequences_jasper_euro_ball_1_i_00052.jpg,800,600,ball,418,296,563,439
199,292_26-framed831.jpg,960,720,ball,603,181,623,201
1928,154_sequences_misc_ball_1_00019.jpg,800,600,ball,415,198,499,281
3471,293_32-framed11030.jpg,1280,720,ball,748,142,772,163
2652,197_1525455254.7368264frame04777.jpg,640,360,ball,83,110,140,163
2936,196_output_00628.jpg,1920,1080,ball,1039,562,1351,888
1682,262_montreal-game04_aa_000258.jpg,800,600,ball,570,390,602,422
3579,295_66-framed11319.jpg,1280,720,ball,1202,239,1232,269
3285,293_35-framed10275-1.jpg,1280,598,ball,814,351,880,417
3502,295_67-framed822.jpg,1280,720,ball,1181,101,1221,142
4059,36_euro_ball_game_1_n_00888.jpg,800,600,ball,177,364,212,401
3259,293_36-framed16165.jpg,1280,720,ball,630,537,699,588
3544,295_66-framed5447.jpg,1280,720,ball,741,223,768,253
1067,81_test_nagoya_game_d_00423.jpg,800,600,ball,423,115,460,151
1534,260_montreal-game01_ae_000164.jpg,800,600,ball,377,170,396,188
3501,295_68-framed1402-1.jpg,1280,540,ball,300,239,316,251
2689,197_1525455127.0926223frame03768.jpg,640,360,ball,502,291,623,360
3455,293_32-framed15061.jpg,1280,720,ball,17,156,40,184
2545,197_1525455604.7224708frame07627.jpg,640,360,ball,26,285,126,360
3648,293_30-framed1112.jpg,1280,720,ball,461,454,550,543
985,291_10-framed17897.jpg,1280,720,ball,553,10,590,43
3450,293_32-framed15464.jpg,1280,720,ball,740,156,761,176
804,292_18-framed4273.jpg,1280,720,ball,542,276,571,310
2406,5_jan16_seq__000.620.jpg,800,600,ball,467,155,564,256
4175,15_leipzig_robocup16_003.369.jpg,800,600,ball,447,269,486,307
1271,262_montreal-game04_aa_000026.jpg,800,600,ball,104,334,138,366
426,294_55-framed6150-1.jpg,960,720,ball,584,403,615,438
1613,260_montreal-game01_ab_000088.jpg,800,600,ball,768,255,788,273
2143,IMG_20181001_165310742_BURST006.jpg,3264,1836,ball,1050,59,2937,1774
1697,260_montreal-game01_aa_000302.jpg,800,600,ball,238,1,254,16
1706,260_montreal-game01_aa_000221.jpg,800,600,ball,411,153,427,171
3366,293_33-framed1124-1.jpg,1280,634,ball,723,448,808,539
599,291_3-framed15792.jpg,1280,720,ball,553,447,671,551
3951,30_leipzig_robocup16_007.994.jpg,800,600,ball,646,173,740,262
1300,260_montreal-game01_an_000033.jpg,800,600,ball,308,260,365,314
1016,291_1-framed7391.jpg,1280,720,ball,126,285,179,342
1104,81_test_nagoya_game_c_00157.jpg,800,600,ball,224,350,311,437
2174,IMG_20181001_165213168_BURST007.jpg,3264,1836,ball,1131,0,2599,938
267,291_9-framed8856.jpg,1280,720,ball,447,392,480,425
3694,36_euro_ball_game_1_m_00395.jpg,800,600,ball,134,219,217,298
3141,293_44-framed4789.jpg,1280,720,ball,437,382,488,433
4492,149_21_02_2018__17_02_52_0173_upper.jpg,640,480,ball,403,179,429,202
2529,197_1525455649.474885frame07991.jpg,640,360,ball,140,38,192,91
1574,260_montreal-game01_ac_000121.jpg,800,600,ball,483,315,499,330
2932,196_output_00691.jpg,1920,1080,ball,572,498,802,722
2087,IMG_20181003_152220457.jpg,3264,1836,ball,348,16,3017,1838
4084,36_euro_ball_game_1_n_00538.jpg,800,600,ball,268,400,301,430
388,294_57-framed2402.jpg,1280,720,ball,766,356,890,481
989,291_10-framed15074.jpg,1280,720,ball,297,85,323,110
3630,293_30-framed3661.jpg,1280,720,ball,474,378,535,433
4198,15_leipzig_robocup16_003.001.jpg,800,600,ball,711,503,761,550
3100,295_70-framed5135.jpg,1280,720,ball,735,405,875,547
359,294_58-framed3196.jpg,1280,720,ball,117,274,167,314
952,291_10-framed30805.jpg,1280,720,ball,287,85,313,120
2767,31_leipzig_robocup16_009.194.jpg,800,600,ball,510,408,570,460
1677,262_montreal-game04_aa_000338.jpg,800,600,ball,56,168,92,202
3549,295_66-framed3442.jpg,1280,720,ball,1136,229,1163,257
3647,293_30-framed1168.jpg,1280,720,ball,550,440,581,493
1401,260_montreal-game01_ak_000003.jpg,800,600,ball,242,146,260,162
2660,197_1525455237.3514724frame04634.jpg,640,360,ball,203,226,344,336
4086,36_euro_ball_game_1_n_00530.jpg,800,600,ball,324,386,357,417
420,294_55-framed9008-1.jpg,960,720,ball,305,477,334,520
3162,293_43-framed2297.jpg,1280,720,ball,752,323,816,387
2194,IMG_20181001_165045542_BURST000_COVER.jpg,4096,2304,ball,1520,1022,2065,1527
1221,6_jun16_seq_pos_000.433.jpg,800,600,ball,16,332,124,436
660,291_11-framed1005.jpg,1280,720,ball,679,482,777,575
1696,260_montreal-game01_aa_000302.jpg,800,600,ball,254,4,274,19
29,294_61-framed907-1.jpg,1280,612,ball,622,396,743,523
2377,7_leipzig_robocup16_000.421.jpg,800,600,ball,249,317,352,420
3682,36_euro_ball_game_1_m_00529.jpg,800,600,ball,35,13,58,37
3540,295_66-framed6307.jpg,1280,720,ball,604,225,622,249
79,294_52-framed25491-1.jpg,1280,626,ball,672,486,708,516
586,291_3-framed3419.jpg,1280,720,ball,594,514,748,699
2632,197_1525455282.0526712frame05012.jpg,640,360,ball,319,30,390,97
3868,36_euro_ball_game_1_d_00386.jpg,800,600,ball,468,247,496,277
2496,197_1525455763.2792437frame08887.jpg,640,360,ball,0,315,52,360
4299,36_euro_ball_game_1_b_00044.jpg,800,600,ball,368,276,422,337
944,291_10-framed35645.jpg,1280,720,ball,246,92,272,114
4290,36_euro_ball_game_1_b_00211.jpg,800,600,ball,130,324,195,386
1628,252_11_06_2018__16_14_08_3591_lower.jpg,320,240,ball,164,16,233,83
568,291_3-framed9250.jpg,1280,720,ball,281,419,382,500
3887,36_euro_ball_game_1_a_00005.jpg,800,600,ball,402,97,429,123
1049,291_1-framed1759.jpg,1280,720,ball,561,295,594,323
826,292_18-framed10955.jpg,1280,720,ball,458,484,515,534
2865,197_1525454883.8688715frame01838.jpg,640,360,ball,289,135,317,163
2133,IMG_20181001_165335644_BURST008.jpg,3264,1836,ball,445,1008,1469,1838
4436,155_sequences_misc_ball_robot_1_a_00177.jpg,800,600,ball,549,310,619,380
3185,293_42-framed10732.jpg,1280,720,ball,684,323,761,400
2587,197_1525455425.5879817frame06208.jpg,640,360,ball,277,100,341,167
782,292_18-framed9960.jpg,1280,720,ball,756,473,816,530
2292,IMG_20181001_164928824_BURST005.jpg,4096,2304,ball,1170,0,2253,773
126,294_50-framed4383.jpg,1280,720,ball,451,441,561,551
159,294_48-framed3575.jpg,1280,720,ball,876,439,933,508
1059,96_26_01_2018__13_46_49_1142_upper.jpg,640,480,ball,240,108,255,123
3511,295_67-framed373.jpg,1280,720,ball,365,152,439,225
3517,295_67-framed2507.jpg,1280,720,ball,1118,265,1161,306
1397,260_montreal-game01_ak_000020.jpg,800,600,ball,200,148,218,164
58,294_60-framed16423-1.jpg,1280,612,ball,844,419,938,525
257,292_15-framed2262.jpg,1280,720,ball,904,347,989,439
3211,293_40-framed1708-1.jpg,640,360,ball,318,201,370,254
2424,20_aufnahme42_FullPic.jpg,640,480,ball,255,264,299,305
2379,7_leipzig_robocup16_000.271.jpg,800,600,ball,343,275,426,365
181,292_28-framed311.jpg,1280,720,ball,641,313,664,340
855,292_17-framed12229.jpg,1280,720,ball,392,183,422,220
1367,260_montreal-game01_ak_000230.jpg,800,600,ball,361,289,394,322
3210,293_40-framed1708-4.jpg,640,360,ball,305,203,327,230
1185,6_leipzig_robocup16_000.140.jpg,800,600,ball,56,217,164,316
109,294_51-framed31932-1.jpg,1280,598,ball,624,346,738,458
2998,295_75-framed8578.jpg,1280,720,ball,1113,124,1145,160
883,291_10-framed5393.jpg,1280,720,ball,301,89,321,108
1808,166_frame3943.jpg,640,360,ball,116,270,137,291
4420,156_sequences_jasper_kicking_euro_ball_00112.jpg,800,600,ball,470,106,533,170
622,291_2-framed306.jpg,1280,720,ball,612,384,691,482
1341,260_montreal-game01_al_000114.jpg,800,600,ball,606,190,619,203
3400,293_32-framed4985.jpg,1280,720,ball,799,144,824,169
154,294_48-framed598.jpg,1280,720,ball,716,413,777,480
4477,151_21_02_2018__17_23_31_0112_upper.jpg,640,480,ball,629,90,640,100
1692,260_montreal-game01_aa_000340.jpg,800,600,ball,12,41,32,62
3888,35_euro_ball_01_j_00128.jpg,800,600,ball,375,207,517,357
2527,197_1525455651.2107239frame08005.jpg,640,360,ball,430,197,524,265
4019,258_bframe0136.jpg,640,360,ball,351,141,516,309
3837,36_euro_ball_game_1_g_00219.jpg,800,600,ball,487,238,530,279
3283,293_35-framed13920-1.jpg,1280,598,ball,573,425,677,535
2761,34_leipzig_robocup16_000.057.jpg,800,600,ball,193,365,316,490
20,294_63-framed419.jpg,1280,720,ball,888,429,938,479
2877,196_output_01507.jpg,1920,1080,ball,827,356,1121,653
3948,30_leipzig_robocup16_008.278.jpg,800,600,ball,193,365,281,449
1908,159_wolves_test_b_141.jpg,640,480,ball,383,310,425,352
3376,293_32-framed955.jpg,1280,720,ball,159,271,184,296
244,292_15-framed3462.jpg,1280,720,ball,887,394,995,509
3288,293_34-framed9314.jpg,1920,1080,ball,726,572,848,695
1984,IMG_20181003_153043498_BURST006.jpg,3264,1836,ball,1576,734,2674,1790
1797,166_frame4112.jpg,640,360,ball,209,222,228,240
128,294_50-framed3536.jpg,1280,720,ball,275,258,417,368
2290,IMG_20181001_164928824_BURST007.jpg,4096,2304,ball,108,7,4096,2307
111,294_51-framed29116-1.jpg,1280,598,ball,409,484,512,590
4190,15_leipzig_robocup16_003.135.jpg,800,600,ball,312,415,376,481
592,291_3-framed2282.jpg,1280,720,ball,791,409,828,494
3452,293_32-framed15464.jpg,1280,720,ball,338,241,364,268
2910,196_output_01002.jpg,1920,1080,ball,964,44,1105,193
2280,IMG_20181001_164955173.jpg,4096,2304,ball,289,289,2367,2260
47,294_60-framed27001-1.jpg,1280,612,ball,651,232,714,289
887,291_10-framed53393.jpg,1280,720,ball,750,94,781,130
3960,25_ball_move_1_01107.jpg,800,600,ball,155,109,213,162
737,292_22-framed1681.jpg,1280,720,ball,814,423,871,469
4274,36_euro_ball_game_1_b_00350.jpg,800,600,ball,456,419,520,482
3472,293_32-framed11030.jpg,1280,720,ball,558,121,579,144
1269,262_montreal-game04_aa_000067.jpg,800,600,ball,228,472,262,506
1360,260_montreal-game01_ak_000338.jpg,800,600,ball,533,166,549,182
3768,36_euro_ball_game_1_k_00084.jpg,800,600,ball,95,214,140,256
433,294_55-framed3435-1.jpg,960,720,ball,549,350,586,378
4472,151_21_02_2018__17_23_31_0170_upper.jpg,640,480,ball,629,90,640,100
4113,36_euro_ball_game_1_n_00083.jpg,800,600,ball,339,49,376,83
2841,197_1525454910.4473546frame02060.jpg,640,360,ball,458,0,512,13
768,292_19-framed5027.jpg,1280,720,ball,588,350,714,458
4337,157_sequences_jasper_euro_ball_1_c_00106.jpg,800,600,ball,326,266,371,312
4065,36_euro_ball_game_1_n_00757.jpg,800,600,ball,626,67,663,103
3740,36_euro_ball_game_1_l_00050.jpg,800,600,ball,296,186,367,263
1809,166_frame3930.jpg,640,360,ball,54,144,76,165
2054,IMG_20181003_152336183_BURST017.jpg,3264,1836,ball,1490,681,1838,1040
3556,295_66-framed1724.jpg,1280,720,ball,828,255,851,279
1425,260_montreal-game01_ai_000155.jpg,800,600,ball,535,29,552,44
2818,197_1525454954.6269622frame02418.jpg,640,360,ball,590,188,640,248
2991,12_leipzig_robocup16_000.143.jpg,800,600,ball,358,35,432,106
2333,7_leipzig_robocup16_euroball218.jpg,800,600,ball,149,442,223,518
606,291_3-framed1428.jpg,1280,720,ball,498,356,569,455
2999,295_75-framed8149.jpg,1280,720,ball,697,124,723,153
564,291_4-framed10288-1.jpg,1280,598,ball,541,242,600,311
3854,36_euro_ball_game_1_f_00086.jpg,800,600,ball,478,223,511,255
4007,258_bframe0407.jpg,640,360,ball,209,86,381,259
3825,36_euro_ball_game_1_g_00538.jpg,800,600,ball,212,286,255,328
186,292_27-framed855.jpg,1280,720,ball,436,349,463,380
1062,96_26_01_2018__13_46_49_0818_upper.jpg,640,480,ball,284,112,300,127
345,294_59-framed1565.jpg,1280,720,ball,513,427,578,488
3207,293_40-framed1931-4.jpg,640,360,ball,343,213,371,238
4167,15_leipzig_robocup16_003.532.jpg,800,600,ball,287,172,529,406
616,291_3-framed10388.jpg,1280,720,ball,575,421,677,543
3,294_64-framed5368-1.jpg,1280,612,ball,816,354,881,417
1680,262_montreal-game04_aa_000323.jpg,800,600,ball,114,196,148,230
1525,260_montreal-game01_af_000033.jpg,800,600,ball,112,297,151,334
76,294_52-framed28307-1.jpg,1280,626,ball,634,480,660,512
1119,81_test_nagoya_game_b_00308.jpg,800,600,ball,307,109,345,142
1619,260_montreal-game01_ab_000031.jpg,800,600,ball,487,287,520,322
1030,291_1-framed34347.jpg,1280,720,ball,765,220,797,254
1344,260_montreal-game01_al_000105.jpg,800,600,ball,404,427,460,481
459,294_55-framed10008-1.jpg,960,720,ball,562,496,595,529
3603,295_65-framed11907-1.jpg,1280,626,ball,699,407,725,439
771,292_19-framed3735.jpg,1280,720,ball,710,379,756,414
677,292_24-framed2432-1.jpg,1280,598,ball,638,349,746,457
2202,IMG_20181001_165032856_BURST002.jpg,4096,2304,ball,686,726,1453,1520
2899,196_output_01107.jpg,1920,1080,ball,674,441,923,692
2345,7_leipzig_robocup16_000.917.jpg,800,600,ball,322,259,396,338
694,292_24-framed11852-1.jpg,1280,598,ball,860,252,922,319
3361,293_33-framed13259-1.jpg,1280,634,ball,315,266,334,285
2009,IMG_20181003_152945215_BURST010.jpg,3264,1836,ball,1560,161,1854,472
3360,293_33-framed13545-1.jpg,1280,634,ball,632,271,658,300
1195,6_jun16_seq_pos_001.041.jpg,800,600,ball,427,296,466,337
3175,293_42-framed21316.jpg,1280,720,ball,643,316,720,391
1980,IMG_20181003_153043498_BURST010.jpg,3264,1836,ball,1511,327,2208,1024
1704,260_montreal-game01_aa_000230.jpg,800,600,ball,559,215,590,245
2960,196_output_00272.jpg,1920,1080,ball,1080,73,1252,252
2605,197_1525455355.0815418frame05635.jpg,640,360,ball,327,117,393,182
1077,81_test_nagoya_game_d_00305.jpg,800,600,ball,288,366,322,400
1451,260_montreal-game01_ag_000106.jpg,800,600,ball,579,474,626,517
1478,260_montreal-game01_af_000213.jpg,800,600,ball,565,241,584,257
1047,291_1-framed18656.jpg,1280,720,ball,880,209,933,244
4526,104_26_01_2018__20_02_54_0514_upper.jpg,640,480,ball,535,418,598,481
2005,IMG_20181003_152945215_BURST015.jpg,3264,1836,ball,1109,1120,1822,1833
3003,295_75-framed7292.jpg,1280,720,ball,1025,384,1066,426
1540,260_montreal-game01_ae_000143.jpg,800,600,ball,295,202,316,220
14,294_64-framed1982-1.jpg,1280,612,ball,477,362,521,404
4265,36_euro_ball_game_1_c_00085.jpg,800,600,ball,209,142,235,168
467,294_54-framed1686-1.jpg,1280,576,ball,643,260,713,336
4205,15_leipzig_robocup16_002.904.jpg,800,600,ball,607,322,653,367
